Date,Index,VaR95_exc,VaR99_exc,Severity95
2002-02-27,IBEX,0,0,
2002-02-28,IBEX,0,0,
2002-03-01,IBEX,0,0,
2002-03-04,IBEX,0,0,
2002-03-05,IBEX,0,0,
2002-03-06,IBEX,0,0,
2002-03-07,IBEX,0,0,
2002-03-08,IBEX,0,0,
2002-03-11,IBEX,0,0,
2002-03-12,IBEX,0,0,
2002-03-13,IBEX,0,0,
2002-03-14,IBEX,0,0,
2002-03-15,IBEX,0,0,
2002-03-18,IBEX,0,0,
2002-03-19,IBEX,0,0,
2002-03-20,IBEX,0,0,
2002-03-21,IBEX,0,0,
2002-03-22,IBEX,0,0,
2002-03-25,IBEX,1,0,-0.16895116024789192
2002-03-26,IBEX,0,0,
2002-03-27,IBEX,0,0,
2002-03-28,IBEX,0,0,
2002-03-29,IBEX,0,0,
2002-04-01,IBEX,0,0,
2002-04-02,IBEX,0,0,
2002-04-03,IBEX,0,0,
2002-04-04,IBEX,0,0,
2002-04-05,IBEX,0,0,
2002-04-08,IBEX,1,0,-0.5626540586020439
2002-04-09,IBEX,0,0,
2002-04-10,IBEX,0,0,
2002-04-11,IBEX,0,0,
2002-04-12,IBEX,0,0,
2002-04-15,IBEX,0,0,
2002-04-16,IBEX,0,0,
2002-04-17,IBEX,0,0,
2002-04-18,IBEX,0,0,
2002-04-19,IBEX,0,0,
2002-04-22,IBEX,0,0,
2002-04-23,IBEX,0,0,
2002-04-24,IBEX,0,0,
2002-04-25,IBEX,0,0,
2002-04-26,IBEX,0,0,
2002-04-29,IBEX,0,0,
2002-04-30,IBEX,0,0,
2002-05-01,IBEX,0,0,
2002-05-02,IBEX,0,0,
2002-05-03,IBEX,0,0,
2002-05-06,IBEX,0,0,
2002-05-07,IBEX,0,0,
2002-05-08,IBEX,0,0,
2002-05-09,IBEX,0,0,
2002-05-10,IBEX,0,0,
2002-05-13,IBEX,0,0,
2002-05-14,IBEX,0,0,
2002-05-15,IBEX,0,0,
2002-05-16,IBEX,0,0,
2002-05-17,IBEX,0,0,
2002-05-20,IBEX,0,0,
2002-05-21,IBEX,0,0,
2002-05-22,IBEX,0,0,
2002-05-23,IBEX,0,0,
2002-05-24,IBEX,0,0,
